city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Wynantskill/Rensselaer County,North Greenbush Library,"141 Main Avenue, Wynantskill, NY 12198",518-283-0303,Mon - Fri: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 2:00 PM; Sun: Closed,"42.6959181, -73.639363"
Hoosick Falls/Rensselaer County,Northern Tier Senior Service Center,"69 Church St., Hoosick Falls, NY 12090",518-686-7561,Mon - Fri: 9:00 AM - 3:00 PM; Sat & Sun: Closed,"42.8997789, -73.3522181"
Petersburgh/Rensselaer County,Petersburgh Public Library,"69 Main Street, Petersburgh, NY 12138",518-658-2927,"Mon, Tues, Thurs, Fri: 2:00 PM - 6:00 PM; Wed: 2:00 PM - 7:00 PM; Sat: 9:30 AM - 12:30 PM; Sun: Closed","42.7502656, -73.34282069999999"
Poestenkill/Rensselaer County,Poestenkill Firehouse,"182 Main St, Poestenkill, NY 12140",518-283-5100 x104,Call for operating hours.,"42.6962425, -73.5781461"
Troy/Rensselaer County,Prospect Park Splash Pad,"65 Prospect Park Road, Troy, NY 12180",518-235-0215,Mon - Sun: Sunrise to Sunset,"42.7241378, -73.68452359999999"
Rensselaer/Rensselaer County,Rensselaer Public Library,"676 East Street, Rensselaer, NY 12144",518-462-1193,Mon: 12:00 PM - 5:00 PM; Tues & Fri: 10:00 AM - 5:00 PM; Wed & Thurs: 10:00 AM - 8:00 PM; Sun: Closed,"42.6437332, -73.73883099999999"
Averill Park/Rensselaer County,Sand Lake Town Hall,"8428 NY-66, Averill Park, NY 12018",518-674-2026,Mon - Fri: 9:00 AM - 4:00 PM; Sat & Sun: Closed,"42.6381593, -73.54128399999999"
Castleton-on-Hudson/Rensselaer County,Southern Tier Senior Service Center,"1800 E Schodack Rd, Castleton On Hudson, NY 12033",518-477-6581,Mon - Fri: 9:00 AM - 3:00 PM; Sat & Sun: Closed,"42.5526213, -73.67182199999999"
Troy/Rensselaer County,Town of Brunswick Library,"4118 Route 2, Troy, NY 12180",518-279-4023,Mon - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM; Sun: Closed,"42.7284117, -73.69178509999999"
Troy/Rensselaer County,Troy Area Senior Service Center,"1520 Sixth Avenue Suite 1-3, Troy, NY 12180",518-270-5348,Mon - Fri: 9:00 AM - 3:00 PM; Sat & Sun: Closed,"42.7317059, -73.69028089999999"
Valley Falls/Rensselaer County,Valley Falls Library,"42 State Street, Valley Falls, NY 12185",518-753-4230,Tues: 9:30 AM - 12:00 PM & 1:00 PM - 8:00 PM; Wed: 11:00 AM - 6:00 PM; Thurs & Fri: 9:30 AM - 12:00 PM & 1:00 PM - 6:00 PM; Sat: 9:30 AM - 1:00 PM; Sun & Mon: Closed,"42.898497, -73.56301239999999"
Troy/Rensselaer County,William D. Chamberlain Riverfront Park Splash Pad,"255 Front Street, Troy, NY 12180",518-235-7761,Mon - Sun: Sunrise to Sunset,"42.7331606, -73.6909623"
Nyack/Rockland County,Central Nyack Community Center,"58 Waldron Ave, Nyack, NY 10960",845-358-2500,Mon- Fri: 10:00 AM - 8:45 PM (Closed 5:45 PM - 7:00 PM); Sat: 9:00 AM – 5:00 PM,"41.0907377, -73.9394903"
Congers/Rockland County,Congers Community Center,"6 Gilchrest Rd, Clarkstown, NY 10920",845-268-9700,Mon - Fri: 10:00 AM - 8:45 PM; Sat & Sun: 10:00 AM - 6:00 PM,"41.1382866, -73.9401974"
Thiells/Rockland County,Haverstraw Town Hall,"1 Rosman Rd, Haverstraw, NY 10923",845-429-2200,Mon - Fri: 9:00 AM - 5:00 PM,"41.1997467, -74.0106595"
Haverstraw/Rockland County,Haverstraw Village Community Ctr.,"50 W Broad St, Haverstraw, NY 10927",845-429-5731,Mon - Fri: 10:00 AM - 5:00 PM (only Food Pantry open on wknds),"41.19739, -73.96740199999999"
Hillburn/Rockland County,Joseph T. St. Lawrence Community,"115 Torne Valley Road, Hillburn, NY 10931",845-753-2324,Mon - Fri: 7:00 AM - 10:00 PM; Sat: 8:00 AM – 10:00 PM; Sun: 8:00 AM – 9:00 PM,"41.1372176, -74.1624448"
Spring Valley/Rockland County,Kurtz Civic Center Board Room,"9 N Main St, Spring Valley, NY 10977",845-573-5446,Mon - Fri: 9:00 AM - 7:00 PM,"41.1126699, -74.0450096"
Nyack/Rockland County,Nyack Senior Center,"90 Depew Ave, Nyack, NY 10960",845-353-1311,Mon - Fri: 10:00 AM - 2:00 PM,"41.08977489999999, -73.9206119"
Orangeburg/Rockland County,"Orangetown Police Department, Community Room- Court Rooms 1 & 2","26 W Orangeburg Rd, Orangeburg, NY 10962",845-359-3700,Mon - Fri: 9:00 AM - 5:00 PM (business hours); Building is open 7:00 AM - 7:00 PM,"41.0466527, -73.9559697"
Orangeburg/Rockland County,Orangetown Town Hall,"26 Orangeburg Rd, Orangeburg, NY 10962",845-359-5100,Mon - Fri: 9:00 AM - 5:00 PM (business hours); Building is open 7:00 AM - 7:00 PM,"41.04659300000001, -73.9559056"
West Nyack/Rockland County,Palisades Center,"1000 Palisades Center Dr, West Nyack, NY 10994",845-348-1000,Mon - Sat: 11:00 AM - 7:00 PM; Sun: 11:00 AM - 5:00 PM,"41.0981725, -73.95731669999999"
Nanuet/Rockland County,Pascack Community Center- Nanuet,"87 New Clarkstown Rd, Nanuet, NY 10954",845-371-6650,Mon - Fri: 12:30 PM - 8:45 PM; Sat: 10:00 AM – 4:45 PM,"41.111242, -74.029918"
Piermont/Rockland County,Piermont Fire Department (Evacuation Center),"554 Piermont Avenue, Piermont, NY 10968",845-359-0240,Call for operating hours,"41.0420496, -73.91708539999999"
New City/Rockland County,Ramapo Senior Center,"484 New Hempstead Rd, New City, NY 10956",845-356-2244,Mon - Fri: 8:00 AM - 4:00 PM,"41.1498223, -74.03246109999999"
Suffern/Rockland County,Ramapo Town Hall,"237 Route 59, Suffern, NY 10901",845-357-5100,Mon - Fri: 9:00 AM - 5:00 PM,"41.1115862, -74.109546"
Stony Point/Rockland County,Stony Point Community Center (RHO Bldg),"5 Club House Ln, Stony Point, NY 10980",845-947-5261,Mon - Fri: 9:00 AM - 7:00 PM,"41.2240361, -74.0284626"
New City/Rockland County,Street Community Center- New City,"31 Zukor Rd, New City, NY 10956",845-639-5705,Mon - Fri: 8:00 AM - 9:00 PM; Sat: 9:00 AM – 5:00 PM,"41.1721096, -73.98825889999999"
Suffern/Rockland County,Village Hall of Airmont,"251 Cherry Ln, Airmont, NY 10901",845-414-5522,Mon - Fri: 9:00 AM - 4:00 PM,"41.1055695, -74.0985773"
Haverstraw/Rockland County,Village Hall of Haverstraw,"40 New Main St, Haverstraw, NY 10927",845-429-0300,Mon - Fri: 9:00 AM - 5:00 PM,"41.1966317, -73.9661607"
Hillburn/Rockland County,Village Hall of Hillburn,"31 Mountain Ave, Hillburn, NY 10931",845-357-2036,Mon - Fri: 9:00 AM - 4:30 PM,"41.12407109999999, -74.1695531"
Nyack/Rockland County,Village Hall of Nyack,"90 Depew Ave, Nyack, NY 10960",845-358-0548,Mon - Fri: 9:00 AM - 5:00 PM,"41.0898071, -73.9205966"
Piermont/Rockland County,Village Hall of Piermont,"478 Piermont Ave, Orangetown, NY 10968",845-359-1258,Mon - Fri: 9:00 AM - 5:00 PM,"41.040321, -73.9165142"
Pomona/Rockland County,Village Hall of Pomona,"100 Ladentown Rd, Pomona, NY 10970",845-354-0545,Mon - Fri: 9:00 AM - 4:00 PM,"41.1827066, -74.0549028"
Sloatsburg/Rockland County,Village Hall of Sloatsburg,"96 Orange Tpke, Ramapo, NY 10974",845-753-2727,Call for operating hours,"41.1578845, -74.1920222"
Suffern/Rockland County,Village Hall of Suffern (Community Room Upper level),"61 Washington Avenue, Suffern, NY 10901",845-357-2600,Mon - Fri: 8:00 AM - 4:00 PM,"41.1141119, -74.1500768"
Monsey/Rockland County,Village Hall of Wesley Hills,"432 Route 306, Monsey, NY 10952",845-354-0400,Mon - Fri: 9:00 AM - 4:00 PM,"41.1541236, -74.0701249"
West Haverstraw/Rockland County,Village Hall of West Haverstraw,"130 Samsondale Ave, West Haverstraw, NY 10993",845-947-2800,Mon - Fri: 8:30 AM - 4:30 PM,"41.2045392, -73.9723393"
Hillburn/Rockland County,Village of Hillburn Community Room,"37 Fifth Street, Hillburn, NY 10931",845-369-0893,Call for operating hours,"41.1237442, -74.1687745"
,Clifton Park Community Center,"6 Clifton Common Blvd, Clifton Park, NY 12065",518-383-1343,Mon-Sun: 9:00 AM - 4:00 PM,"42.8612417, -73.8180716"
Saratoga Springs/Saratoga County,Gavin Park,"10 Lewis Road, Wilton, NY 12866",518-584-9455 or 518-587-1939 Ext: 600,Mon - Fri: 9:00 AM - 5:00 PM,"43.1190552, -73.7472259"
Hadley/Saratoga County,Hadley Senior Center,"23 Maple St, Hadley, NY 12835",518-696-3312 (Town Hall),Open upon request,"43.31974, -73.84796310000002"
South Glens Falls/Saratoga County,Moreau Community Center,"144 Main Street, South Glens Falls, NY 12803",518-792-6007,Mon - Fri: 8:00 AM - 4:00 PM,"43.297175, -73.6339184"
Gansevoort/Saratoga County,Northumberland Town Hall,"17 Catherine St, Gansevoort, NY 12831",518-792-9179,Mon - Thurs: 8:00 AM - 1:00 PM & 2:00 PM - 4:00 PM; Tues: 6:00 PM - 8:00 PM; Fri: 8:00 AM - 1:00 PM,"43.1988541, -73.6519751"
Schenectady/Schenectady County,Bethesda House of Schenectady,"834 State Street, Schenectady, NY 12307",518-374-7873,"Mon-Fri: 9:00 AM - 11:30 AM, 1:00 PM - 4:30 PM; Weekend Heat wave only Sat-Sun 9:00 AM - 5:00 PM","42.8062179, -73.93366979999999"
Schenectady/Schenectady County,Central Branch Public Library,"99 Clinton St, Schenectady, NY 12308",518-388-4500,Mon-Thurs: 9:00 AM - 8:00 PM; Friday: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 12:00 PM - 4:00 PM,"42.8145969, -73.9380946"
Schenectady/Schenectady County,Glenville Public Library,"20 Glenridge Rd, Schenectady, NY 12302",518-386-2243,"Mon & Wed: 10:00 AM - 7:00 PM; Tues, Thurs-Sat: 10:00 AM - 5:00 PM","42.867707, -73.9275229"
Schenectady/Schenectady County,Glenville Senior Center,"32 Worden Rd, Schenectady, NY 12302",518-374-0734,Mon-Fri: 9:00 AM - 4:00 PM,"42.8494946, -73.9447986"
Schenectady/Schenectady County,Mont Pleasant Public Library,"1036 Crane St, Schenectady, NY 12303",518-386-2245,Mon & Wed: 10:00 AM - 5:00 PM; Tues & Thurs: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM-5:00 PM,"42.798023, -73.9473881"
,Niskayuna Public Library,"2400 Nott St E, Schenectady, NY 12309",518-386-2249,Mon & Tues: 10:00 AM - 7:00 PM; Wed – Sat: 10:00 AM - 5:00 PM,"42.8179573, -73.8852291"
,Niskayuna Senior Center,"2682 Aqueduct Rd, Niskayuna, NY 12309",518-372-4969 or 518-386-4526,Mon: 9:00 AM - 7:00 PM; Tue & Thur: 9:00 AM - 3:00 PM *Operates as a cooling center during heat waves only*,"42.8411165, -73.9077464"
Schenectady/Schenectady County,Phyllis Bornt Public Library,"948 State St, Schenectady, NY 12307",518-372-4393,Mon & Wed: 12:00 PM - 7:00 PM; Tues: 10:00 AM - 5:00 PM; Thurs-Sat: 10:00 AM - 5:00 PM,"42.8040386, -73.9311513"
Delanson/Schenectady County,Quaker Street Public Library,"133 Bull St, Delanson, NY 12053",518-895-2719,Mon-Wed: 10:00 AM - 5:00 PM; Thurs: 12:00 PM - 7:00 PM,"42.7319901, -74.19338549999999"
Schenectady/Schenectady County,Rotterdam Public Library,"1100 N Westcott Rd, Schenectady, NY 12306",518-356-3440,Mon: 10:00 AM - 5:00 PM; Tues - Wed: 10:00 AM - 7:00 PM; Thurs-Sat: 10:00 AM - 5:00 PM,"42.7872733, -73.9797923"
Schenectady/Schenectady County,Rotterdam Senior Center,"2639 Hamburg St, Schenectady, NY 12303",518-356-1561,Mon-Fri: 8:00 AM - 4:00 PM*Operates as a cooling center during heat waves only*,"42.7759256, -73.93364"
Schenectady/Schenectady County,Rotterdam Square Mall,"93 West Campbell Rd, Rotterdam, NY 12306",838-433-9308,Mon-Sat: 11:00 AM - 7:00 PM; Sun: 11:00 AM - 5:00 PM,"42.80837500000001, -73.9873386"
Scotia/Schenectady County,Scotia Public Library,"14 Mohawk Ave, Schenectady, NY 12302",518-386-2247,"Mon, Wed, Fri: 10:00 AM - 5:00 PM; Tues & Thurs: 12:00 PM - 7:00 PM","42.8243372, -73.9594903"
Schenectady/Schenectady County,Woodlawn Public Library,"2 Sanford St, Schenectady, NY 12304",518-386-2248,Mon: 10:00 AM - 5:00 PM; Tues & Thurs: 2:00 PM - 7:00 PM; Wed & Fri: 10:00 AM - 3:00 PM,"42.7799747, -73.90476210000001"
Ovid/Seneca County,Edith B Ford Memorial Library,"7169 Main Street, Ovid, NY 14521",607-869-3031,Mon: 9:00 AM - 5:00 PM; Tues: 10:00 AM - 5:00 PM; Wed: 10:00 AM - 7:00 PM; Thurs: 10:00 AM - 5:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM; Sun: Closed,"42.677133, -76.82229389999999"
Waterloo/Seneca County,Office for the Aging (OFA),"2465 Bonadent Dr Suite 4, Waterloo, NY 13165",315-539-1756,Mon 8:00 AM - 4:00 PM; Tues 8:00 AM - 4:00 PM; Wed: CLOSED for Holiday; Thurs 8:00 AM - 4:00 PM; Fri 8:00 AM - 4:00 PM,"42.9060134, -76.8406677"
Willard/Seneca County,Sampson State Park,"6096 Route 96, Romulus, NY 14541",315-585-6392,Mon - Sun: 11:00 AM - 7:00 PM,"42.7230947, -76.90153409999999"
Seneca Falls/Seneca County,Seneca Falls Community Center,"35 Water Street, Seneca Falls, NY 13148",315-568-6933,Mon - Fri: 6:00 AM - 8:00 PM; Sat: 8:00 AM - 12:00 PM; Sun: Closed,"42.9097508, -76.8019019"
Geneva/Ontario County,Seneca Lake State Park,"1 Lakefront Drive, Geneva, NY 14456",315-789-2331,Mon - Sun: 11:00 AM - 6:00 PM,"42.873397, -76.9452009"
Waterloo/Seneca County,VFW - Waterloo,"29 W Elisha Street, Waterloo, NY 13165",315-539-9771,Call for operating hours,"42.906309, -76.866181"
Ovid/Seneca County,VFW- Ovid,"7068 Rt 96, Ovid, NY 14521",607-869-9820,Mon-Friday 2:00 PM-9:00 PM; Sat & Sun: 12:00 PM-10:00 PM,"42.68172879999999, -76.8204575"
Brier Hill/St. Lawrence County,Brier Hill Fire Department,"2678 State Highway 37, Brier Hill, NY 13614",315-323-0047,24/7; Call to confirm avaialbility.,"44.5313708, -75.6623722"
Gouverneur/St. Lawrence County,Gouverneur Community Center,"4673 NY-58, Gouverneur, NY 13642",(315) 771-6057,Mon-Fri: 7:00 AM- 5:00 PM; weekends by request. Call to confirm availability.,"44.3336586, -75.4825712"
Massena/St. Lawrence County,Massena Public Library,"41 Glenn Street, Massena, NY 13662",315-769-9914,"Mon, Tues, Thurs, Fri: 9:30 AM - 5:00 PM; Wed: 9:30 AM - 8:00 PM","44.9311139, -74.89096669999999"
Norfolk/St. Lawrence County,Norfolk Volunteer Rescue Squad,"7 Sedwick Street, Norfolk, NY 13667","315-212-4075, 315-269-7079",Monday-Thursday 7:00 AM- 5:00PM; May be open other times as needed,"44.7991101, -74.9887318"
Parishville/St. Lawrence County,Parishville Town Office,"1772 State Highway 72, Parishville, NY 13672",315-265-2131,Mon - Fri: 9:00 AM - 3:00 PM,"44.62866390000001, -74.8135858"
Potsdam/St. Lawrence County,Pine Street Arena,"43 Pine St., Potsdam, NY 13676",315-265-4030,Mon - Fri: 8:00 AM - 4:00 PM; Call to confirm availability.,"44.6724052, -74.99743649999999"
Ogdensburg/St. Lawrence County,STEP by STEP,"1515 Knox Street, Ogdensburg, NY 13669",315-394-0597,"Mon- Fri, 8:00 AM - 3:00 PM; Call to confirm availability","44.7017294, -75.4754809"
Brasher/St. Lawrence County,Town of Brasher Municipal Building,"11 Factory Street, Brasher Falls, NY 13613",315-389-4223,Mon - Thurs: 8:00 AM - 4:00 PM,"44.8085229, -74.77348599999999"
Richville/St. Lawrence County,Village of Richville Fire Hall,"71 Main St, Richville, NY 13681",315-287-7045,Call to confirm availability.,"44.413396, -75.396884"
Addison/Steuben County,Addison Public Library,"6 South St, Addison, NY 14801",607-359-3888,Mon: 1:00 PM - 7:00 PM; Wed: 2:00 PM - 8:00 PM; Thurs: 10:00 AM - 6:00 PM; Fri: 2:00 PM - 5:00 PM,"42.104562, -77.233874"
Arkport/Steuben County,Arkport Village Book Center,"2 East Ave, Arkport, NY 14807",607-295-7811,Tues-Thurs: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 2:00 PM,"42.39441160000001, -77.6949221"
Avoca/Steuben County,Avoca Free Library,"18 N Main St, Avoca, NY 14809",607-566-9279,Mon-Tues: 10:00 AM - 6:00 PM; Thurs-Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.4099628, -77.421758"
Savona/Steuben County,Benedek Memorial Library,"7 McCoy Street, Savona, NY 14879",607-583-4426,Mon: 11:00 AM - 7:00 PM; Wed - Thurs: 11:00 AM - 7:00 PM; Fri: 2:00 PM - 7:00 PM; Sat: 9:00 AM - 1:00 PM,"42.287063, -77.2191094"
Cohocton/Steuben County,Cohocton Public Library,"8 Maple Ave, Cohocton, NY 14826",585-384-5170,Mon-Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.500304, -77.49412699999999"
Bath/Steuben County,Dormann Library,"101 W Morris St, Bath, NY 14810",607-776-4613,Mon-Fri: 10:00 AM - 6:00 PM; Sat: 10:00 - 2:00 PM,"42.333318, -77.32419999999999"
North Cohocton/Steuben County,E. J. Cottrell Memorial Library,"30 Main St, Cohocton, NY 14808",585-534-5030,Mon-Tues: 10:00 AM - 8:00 PM; Wed-Fri: 10:00 AM - 5:00 PM,"42.553076, -77.4770274"
Hammondsport/Steuben County,Fred & Harriett Taylor Library,"21 William St, Hammondsport, NY 14840",607-569-2045,Mon: 10:00 AM - 8:00 PM; Tues: 2:00 PM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thurs: 2:00 PM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.4102349, -77.220711"
Greenwood/Steuben County,Greenwood Reading Center,"2684 State Route 248, Greenwood, NY 14877",607-225-4553,Call for operating hours,"42.13483, -77.648369"
Hornell/Steuben County,Hornell Public Library,"64 Genesee St, Hornell, NY 14843",607-324-1210,Mon-Tues: 12:00 PM - 7:00 PM; Wed: 9:00 AM - 7:00 PM; Thurs: 12:00 PM - 7:00 PM; Fri: 1:00 PM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.328214, -77.65741299999999"
Hornell/Steuben County,Howard Public Library,"3607 County Route 70A, Hornell, NY 14843",607-566-2412,Mon: 2:00 PM - 7:00 PM; Tues: 12:00 PM - 7:00 PM; Thurs: 2:00 PM - 7:00 PM; Sat: 9:00 AM - 1:00 PM,"42.3643133, -77.50944609999999"
Jasper/Steuben County,Jasper Free Library,"3807 Library Street, Jasper, NY 14855",607-792-3494,Call for operating hours,"42.122571, -77.50304129999999"
Prattsburgh/Steuben County,Prattsburg Library,"26 Main St, Prattsburgh, NY 14873",607-522-3490,Tues-Fri: 11:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.5224909, -77.2893495"
Pulteney/Steuben County,Pulteney Free Library,"9226 County Road 74, Pulteney, NY 14874",607-868-3652,Tues: 12:00 PM - 8:00 PM; Wed: 12:00 PM - 6:00 PM; Thurs: 12:00 PM - 8:00 PM; Sat: 9:00 AM - 1:00 PM,"42.5259934, -77.1650485"
Corning/Steuben County,Southeast Steuben County Library,"300 Nasser Civic Center Plz, Corning, NY 14830",607-936-3713,Mon-Fri: 9:00 - 7:30 PM; Sat: 9:00 AM - 2:00 PM,"42.14225589999999, -77.0471896"
Wayland/Steuben County,Wayland Free Library,"101 W Naples St, Wayland, NY 14572",585-728-5380,Mon: 10:00 AM - 6:00 PM; Fri: 12:00 PM - 5:00 PM; Sat: 10:00 AM - 12:00 PM,"42.567229, -77.593241"
Canisteo/Steuben County,Wimodaughsian Free Library,"19 W Main St, Canisteo, NY 14823",607-698-4445,Mon: 12:00 PM - 6:00 PM; Tues: 10:00 AM - 5:00 PM; Wed-Fri: 12:00 PM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.2709929, -77.6064632"
Callicoon/Sullivan County,Callicoon - Delaware Free Library,"45 Lower Main St, Callicoon, NY 12723",845-887-4040,"Mon, Wed - Thurs: 10:00 AM - 5:00 PM; Tues: 3:00 PM - 7:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 11:30 AM - 4:00 PM; Sun: Closed","41.7664553, -75.0585842"
Grahamsville/Sullivan County,Daniel Pierce Library,"328 Main St, Grahamsville, NY 12740",845-985-7233,"Mon: 9:00 AM - 1:00 PM, Tues & Thurs: 9:00 AM - 7:00 PM, Wed & Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 12:00 PM, Sun: Closed","41.8491757, -74.5493364"
Monticello/Sullivan County,Ethelbert B Crawford Public Library,"479 Broadway, Monticello, NY 12701",845-794-4660,Mon - Tues & Thurs: 9:30 AM - 8:00 PM; Wed & Fri: 9:30 AM - 6:00 PM; Sat: 10:00 AM - 4:00 PM,"41.6553104, -74.68945330000001"
South Fallsburg/Sullivan County,Fallsburg Library,"12 Railroad Plz, South Fallsburg, NY 12779",845-436-6067,"Mon, Thurs-Fri: 9:30 AM - 4:00 PM; Tues-Wed: 10:00 AM - 6:00 PM","41.7077556, -74.62963669999999"
Jeffersonville/Sullivan County,Jeffersonville Free Library,"19 Center St, Jeffersonville, NY 12748",845-482-4350,"Mon: Closed; Tues - Wed: 10:00 AM - 8:00 PM; Thurs - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM, Sun: Closed","41.7808691, -74.93624439999999"
Liberty/Sullivan County,Liberty Public Library,"189 N Main St, Liberty, NY 12754",845-292-6070,"Mon, Wed & Fri: 10:00 AM - 5:00 PM; Tues & Thurs: 10:00 AM - 6:30 PM; Sat: 10:00 AM - 4:00 PM; Sun: Closed","41.802717, -74.7468969"
Livingston Manor/Sullivan County,Livingston Manor Public Library,"92 Main St, Livingston Manor, NY 12758",845-439-5440,"Mon - Wed & Fri: 10:00 AM - 5:00 PM; Thurs: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 2:00 PM, Sun: Closed","41.9011174, -74.8274265"
Wurtsboro/Sullivan County,Mamakating Library,"128 Sullivan St, Wurtsboro, NY 12790",845-888-8004,"Mon, Wed & Fri: 10:00 AM - 5:00 PM: Tues & Thurs: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 4:00 PM","41.5762808, -74.4853001"
Monticello/Sullivan County,Sullivan County Government Center,"100 North Street, Monticello, NY 12701",845-794-3000,Mon-Fri: 9:00 AM - 5:00 PM,"41.6584571, -74.6917748"
Eldred/Sullivan County,Sunshine Hall Free Library,"14 Proctor Rd, Eldred, NY 12732",845-557-6258,Mon: Closed; Tues - Thurs: 12:00 PM - 4:00 PM; Fri - 11:00 AM - 6:00 PM; Sat - 10:00 AM - 3:00 PM,"41.5262427, -74.883134"
Loch Sheldrake/Sullivan County,SUNY Sullivan,"112 College Road, Loch Sheldrake, NY 12759",845-434-5750,Mon-Fri: 8:30 AM - 5:00 PM,"41.763897, -74.66886199999999"
Monticello/Sullivan County,Walmart,"41 Anawana Lake Road, Monticello, NY 12701",845-796-7202,Mon-Sun: 6:00 AM - 11:00 PM,"41.6669425, -74.6795425"
Apalachin/Tioga County,Apalachin Public Library,"719 Main St, Apalachin, NY 13732",607-625-3333,"Mon, Tues, Thurs: 10:00 AM – 7:00 PM; Fri & Sat: 10:00 AM – 2:00 PM","42.0681643, -76.15206289999999"
Barton/Tioga County,Cady Library,"42 East River Road, Nichols, NY 13812",607-699-3835,Tues & Fri: 12:00 PM – 5:30 PM; Wed: 2:00 PM - 5:30 PM; Thurs: 1:00 PM – 7:00 PM; Sat: 9:00 AM – 12:00 PM,"42.0222615, -76.3661753"
Candor/Tioga County,Candor Public Library,"2 Bank Street, Candor, NY 13743",607-659-7258,"Mon, Wed, Fri: 2:00 PM – 5:00 PM; Tues & Thurs: 10:00 AM – 12:00 PM & 2:00 PM - 7:00 PM; Sat: 10:00 AM - 2:00 PM","42.2323284, -76.34140649999999"
Owego/Tioga County,Coburn Free Library,"275 Main Street, Owego, NY 13827",607-687-3520,"Mon, Wed, Fri: 10:00 AM – 5:00 PM; Tues & Thurs: 2:00 PM – 7:00 PM","42.1056491, -76.25900229999999"
Owego/Tioga County,Greater Owego Community Pool,"1 Sheldon Guile Boulevard, Owego, NY 13827",607-687-6352,Pool Hours & Availability: https://www.oacsd.org/page/oa-community-pool,"42.1169618, -76.2728884"
Owego/Tioga County,Marvin Park Pool,"50 West Main Street, Owego, NY 13827",607-687-1101,Pool Hours & Availability: villageofowego.com/departments/parks_and_recreati on.php,"42.1006315, -76.2731692"
Spencer/Tioga County,Spencer Library,"41 North Main St, Spencer, NY 14883",607-589-4496,Mon: 9:00 AM – 2:00 PM; Tues-Fri: 3:00 PM – 8:00 PM; Sat: 10:00 AM – 2:00 PM,"42.2110926, -76.4924091"
Newark Valley/Tioga County,Tappan Spaulding Memorial Library,"6 Rock St, Newark Valley, NY 13811",607-642-9960,"Mon & Wed: 1:00 PM – 6:00 PM; Tues, Thurs, Sat: 9:00 AM – 2:00 PM","42.223539, -76.18306199999999"
Tioga Center/Tioga County,Tioga Central School Indoor Pool,"27 Fifth Avenue, Tioga Center, NY 13845",607-687-8004,Pool Hours & Availability: Tiogacentral.org/aquatics.aspx,"42.0581155, -76.3520946"
Waverly/Tioga County,Waverly Free Library,"18 Elizabeth St, Waverly, NY 14892",607-565-9341,Tues: 10:00 AM – 7:00 PM; Wed & Thurs: 10:00 AM – 5:00 PM; Fri: 10:00 AM – 4:00 PM; Sat: 10:00 AM – 2:00 PM,"42.0016506, -76.54147549999999"
Ithaca/Tompkins County,Appel Commons Community Center,"186 Cradit Farm Dr, Ithaca, NY 14850",607-351-3096,Mon-Fri: 7:00 AM - 5:00 PM,"42.4535626, -76.47608819999999"
Ithaca/Tompkins County,Greater Ithaca Activities Center (GIAC),"301 W. Court St, Ithaca, NY 14850",607-272-3622,Mon-Fri: 9:00 AM - 5:30 PM,"42.442177, -76.502258"
Groton/Tompkins County,Groton Public Library,"112 E. Cortland St, Groton, NY 13073",607-898-5055,Mon: 2:00 PM - 8:00 PM; Tues-Fri: 12:00 PM - 8:00 PM; Sat: 10:00 AM - 2:00 PM,"42.590461, -76.36681589999999"
Ithaca/Tompkins County,"Ithaca College (Athletics & Events Center, Campus Center, Dillingham Hall, Fitness Center)","953 Danby Rd, Ithaca, NY 14850",607-274-1092,Mon-Sun: 8:30 AM - 5:00 PM,"42.4231912, -76.4902419"
Lansing/Tompkins County,Lansing Community Library,"27 Auburn Rd, Lansing, NY 14882",607-533-4939,Mon-Thurs: 10:00 AM - 7:00 PM; Fri & Sat: 10:00 AM - 2:00 PM,"42.5378186, -76.5031113"
Newfield Hamlet/Tompkins County,Newfield Public Library,"198 Main St, Newfield, NY 14867",607-564-3594,Mon: 2:00 PM - 5:00 PM; Tues-Thurs: 10:00 AM - 6:30 PM; Fri: 2:00 PM - 6:30 PM; Sat: 10:00 AM - 2:00 PM,"42.361782, -76.5913848"
Ithaca/Tompkins County,Noyes Community Rec. Center,"Cornell University - 306 West Ave, Ithaca, NY 14850",607-255-0421,Mon-Fri: 8:00 AM - 9:00 PM,"42.446447, -76.487996"
